episode,total_reward,steps,success
1,-22.89999999999999,51,0
2,-11.5,18,0
3,-12.100000000000001,24,0
4,-10.9,12,0
5,-13.700000000000001,11,0
6,-20.499999999999996,25,0
7,-18.699999999999996,27,0
8,-11.7,11,0
9,-22.09999999999999,52,0
10,-32.600000000000016,47,0
11,-23.599999999999987,49,0
12,-21.999999999999993,31,0
13,-12.299999999999999,8,0
14,-21.89999999999999,41,0
15,-17.1,20,0
16,-11.1,14,0
17,-22.499999999999993,47,0
18,-16.6,22,0
19,-23.29999999999999,44,0
20,-21.699999999999996,37,0
21,-15.299999999999995,20,0
22,-8.5,6,0
23,-8.3,4,0
24,-26.99999999999999,56,0
25,-19.9,39,0
26,-12.9,12,0
27,-8.3,4,0
28,-12.699999999999998,21,0
29,-13.900000000000002,24,0
30,-15.899999999999997,26,0
31,-19.699999999999996,46,0
32,-11.700000000000001,11,0
33,-13.2,17,0
34,-9.3,5,0
35,-9.5,7,0
36,-13.700000000000001,11,0
37,-9.3,5,0
38,-16.099999999999994,28,0
39,-10.1,13,0
40,-31.000000000000007,96,0
41,-9.9,11,0
42,-9.7,9,0
43,-11.9,13,0
44,-18.699999999999996,34,0
45,-34.8,71,0
46,-13.699999999999998,22,0
47,-27.599999999999994,53,0
48,-37.2,86,0
49,-19.699999999999996,17,0
50,-31.0,69,0
51,-14.2,27,0
52,-12.700000000000001,10,0
53,-9.5,7,0
54,-9.5,7,0
55,-14.400000000000002,20,0
56,-16.899999999999995,27,0
57,-11.700000000000001,11,0
58,-16.699999999999996,23,0
59,-31.10000000000003,88,0
60,-13.3,18,0
61,-9.5,7,0
62,-16.5,21,0
63,-12.9,14,0
64,-13.3,18,0
65,-11.5,18,0
66,-13.9,13,0
67,-17.19999999999999,39,0
68,-9.3,5,0
69,-12.3,26,0
70,-45.700000000000045,117,0
71,-21.299999999999986,62,0
72,-25.29999999999999,66,0
73,-15.399999999999999,19,0
74,-15.899999999999999,17,0
75,-10.7,10,0
76,-16.7,34,0
77,-22.79999999999999,50,0
78,-19.599999999999994,45,0
79,-10.3,6,0
80,-17.5,40,0
81,-8.700000000000001,8,0
82,-14.700000000000001,12,0
83,-10.7,10,0
84,-15.699999999999998,24,0
85,-36.50000000000003,115,0
86,-8.5,6,0
87,-16.3,39,0
88,-13.700000000000001,20,0
89,-9.5,16,0
90,-9.9,11,0
91,-8.5,6,0
92,-12.5,28,0
93,-11.3,25,0
94,-10.100000000000001,13,0
95,-32.20000000000001,72,0
96,-18.1,39,0
97,-27.999999999999996,57,0
98,-12.100000000000001,24,0
99,-18.999999999999993,57,0
100,-28.699999999999996,82,0
101,-12.9,23,0
102,-10.1,22,0
103,-11.5,18,0
104,-17.5,33,0
105,-11.600000000000001,37,0
106,-30.499999999999993,82,0
107,-20.199999999999996,42,0
108,-11.5,18,0
109,-16.599999999999998,42,0
110,-12.3,17,0
111,-11.5,18,0
112,-19.499999999999993,44,0
113,-20.0,40,0
114,-15.900000000000002,35,0
115,-28.9,48,0
116,-16.799999999999997,44,0
117,-9.5,7,0
118,-20.39999999999999,53,0
119,-8.5,6,0
120,-10.0,21,0
121,-12.7,12,0
122,-11.5,9,0
123,-19.599999999999994,54,0
124,-8.7,8,0
125,-23.4,56,0
126,-8.5,6,0
127,-29.299999999999997,79,0
128,-11.600000000000001,19,0
129,-13.899999999999999,15,0
130,-18.200000000000003,31,0
131,-22.199999999999992,53,0
132,-23.89999999999999,70,0
133,-12.499999999999998,19,0
134,-9.3,5,0
135,-29.60000000000001,91,0
136,-9.700000000000001,9,0
137,-11.700000000000001,11,0
138,-26.69999999999999,80,0
139,-10.3,15,0
140,-11.700000000000001,20,0
141,-13.3,27,0
142,-9.0,11,0
143,-12.100000000000001,15,0
144,-15.399999999999995,39,0
145,-10.7,19,0
146,-9.7,18,0
147,-10.3,15,0
148,-10.8,29,0
149,-19.299999999999997,33,0
150,-18.39999999999999,60,0
151,-16.099999999999994,37,0
152,-10.9,12,0
153,-28.000000000000014,84,0
154,-12.500000000000002,19,0
155,-9.3,5,0
156,-13.100000000000001,25,0
157,-20.299999999999997,43,0
158,-25.099999999999994,64,0
159,-13.100000000000001,14,0
160,-8.9,10,0
161,-17.299999999999997,40,0
162,-16.0,27,0
163,-17.699999999999992,35,0
164,-17.89999999999999,55,0
165,-13.400000000000002,28,0
166,-23.39999999999999,56,0
167,-47.200000000000095,132,0
168,-9.3,5,0
169,-11.5,27,0
170,-12.9,32,0
171,-10.5,17,0
172,-13.900000000000002,33,0
173,-17.299999999999997,31,0
174,-12.8,22,0
175,-23.899999999999988,79,0
176,-10.200000000000001,23,0
177,-10.4,16,0
178,-12.3,26,0
179,-20.299999999999997,34,0
180,-11.5,9,0
181,-24.799999999999986,79,0
182,-12.699999999999998,21,0
183,-15.299999999999999,29,0
184,-17.0,55,0
185,-10.5,8,0
186,-9.3,5,0
187,-11.4,17,0
188,-11.1,14,0
189,-15.099999999999998,45,0
190,-22.79999999999999,68,0
191,-8.3,4,0
192,-8.3,4,0
193,-16.299999999999997,57,0
194,-8.7,8,0
195,-23.89999999999999,61,0
196,-13.0,24,0
197,-14.2,36,0
198,-19.099999999999998,49,0
199,-29.00000000000002,94,0
200,-9.3,5,0
201,-26.19999999999999,84,0
202,-18.29999999999999,41,0
203,-14.100000000000001,26,0
204,-19.79999999999999,65,0
205,-13.900000000000002,24,0
206,-12.200000000000001,34,0
207,-9.700000000000001,9,0
208,-9.9,11,0
209,-9.8,10,0
210,-9.0,11,0
211,-24.399999999999984,84,0
212,-14.200000000000001,36,0
213,-12.100000000000001,24,0
214,-13.8,23,0
215,-19.29999999999999,60,0
216,-13.700000000000001,22,0
217,-19.799999999999997,56,0
218,-17.699999999999996,53,0
219,-22.29999999999999,63,0
220,-22.699999999999985,76,0
221,-9.7,9,0
222,-11.3,16,0
223,-15.599999999999994,41,0
224,-12.3,26,0
225,-9.3,14,0
226,-23.699999999999992,68,0
227,-9.7,9,0
228,-12.5,8,0
229,-8.3,4,0
230,-14.8,33,0
231,-25.39999999999999,58,0
232,-10.0,12,0
233,-9.9,11,0
234,-24.399999999999988,84,0
235,-8.7,8,0
236,-15.0,35,0
237,-13.400000000000002,37,0
238,-12.600000000000001,38,0
239,-8.5,6,0
240,-13.500000000000002,38,0
241,-9.5,16,0
242,-12.7,21,0
243,-16.999999999999993,64,0
244,-10.4,16,0
245,-26.499999999999986,105,0
246,-8.5,6,0
247,-9.5,7,0
248,-11.700000000000001,29,0
249,-14.6,40,0
250,-11.200000000000001,15,0
251,-26.899999999999988,109,0
252,-12.4,18,0
253,-8.3,4,0
254,-12.000000000000002,32,0
255,-11.700000000000001,20,0
256,-15.3,29,0
257,-19.79999999999999,65,0
258,-9.9,11,0
259,-26.399999999999988,95,0
260,-11.8,21,0
261,-27.5,88,0
262,-13.100000000000001,34,0
263,-10.9,21,0
264,-11.8,21,0
265,-14.000000000000002,43,0
266,-17.799999999999994,54,0
267,-11.0,22,0
268,-13.100000000000001,25,0
269,-9.3,5,0
270,-18.999999999999986,75,0
271,-12.8,31,0
272,-21.299999999999986,80,0
273,-17.799999999999997,45,0
274,-13.800000000000002,32,0
275,-8.9,10,0
276,-12.3,17,0
277,-12.7,10,0
278,-24.099999999999984,90,0
279,-17.199999999999996,48,0
280,-9.0,11,0
281,-15.999999999999993,54,0
282,-10.200000000000001,14,0
283,-9.700000000000001,18,0
284,-11.5,7,0
285,-10.1,22,0
286,-10.9,21,0
287,-11.3,16,0
288,-9.100000000000001,12,0
289,-15.999999999999996,27,0
290,-11.6,28,0
291,-12.700000000000001,30,0
292,-16.200000000000003,47,0
293,-14.999999999999996,35,0
294,-13.700000000000003,40,0
295,-22.29999999999999,63,0
296,-23.19999999999998,90,0
297,-20.499999999999996,54,0
298,-16.799999999999997,35,0
299,-18.599999999999994,53,0
300,-10.3,15,0
301,-16.1,55,0
302,-11.4,26,0
303,-11.0,13,0
304,-52.800000000000125,188,0
305,-36.00000000000002,128,0
306,-11.600000000000001,28,0
307,-11.0,22,0
308,-10.4,25,0
309,-13.300000000000002,36,0
310,-18.39999999999999,51,0
311,-32.200000000000024,108,0
312,-13.0,24,0
313,-29.20000000000001,123,0
314,-12.100000000000001,33,0
315,-19.599999999999987,72,0
316,-10.200000000000001,23,0
317,-8.8,9,0
318,-18.199999999999996,58,0
319,-25.89999999999999,90,0
320,-12.600000000000001,29,0
321,-15.799999999999997,43,0
322,-27.599999999999994,116,0
323,-13.400000000000002,37,0
324,-50.0000000000001,223,0
325,-8.9,10,0
326,-8.3,4,0
327,-9.4,15,0
328,-13.600000000000001,39,0
329,-8.3,4,0
330,-33.800000000000026,151,0
331,-9.5,7,0
332,-8.9,10,0
333,-29.600000000000016,100,0
334,-17.2,39,0
335,-25.99999999999998,91,0
336,-12.5,28,0
337,-11.3,16,0
338,-22.499999999999986,101,0
339,-19.699999999999996,55,0
340,-9.9,11,0
341,-16.599999999999998,69,0
342,-14.5,48,0
343,-20.19999999999999,69,0
344,-12.100000000000001,24,0
345,-12.4,18,0
346,-9.0,11,0
347,-12.4,18,0
348,-9.4,15,0
349,-14.7,50,0
350,-13.700000000000001,31,0
351,-9.3,5,0
352,-12.600000000000001,29,0
353,-9.5,7,0
354,-26.39999999999999,86,0
355,-10.9,21,0
356,-8.3,4,0
357,-13.0,42,0
358,-17.09999999999999,74,0
359,-14.7,32,0
360,-10.0,21,0
361,-30.599999999999994,101,0
362,-14.6,40,0
363,-8.5,6,0
364,-21.299999999999986,89,0
365,-8.5,6,0
366,-15.999999999999998,45,0
367,-9.7,9,0
368,-9.3,14,0
369,-10.6,18,0
370,-13.000000000000002,33,0
371,-15.599999999999998,50,0
372,-11.200000000000001,24,0
373,-9.5,16,0
374,-9.9,11,0
375,-11.700000000000001,20,0
376,-9.0,11,0
377,-16.4,49,0
378,-9.3,5,0
379,-19.09999999999999,76,0
380,-13.3,27,0
381,-9.9,11,0
382,-24.899999999999977,107,0
383,-8.5,6,0
384,-13.200000000000003,44,0
385,-10.3,24,0
386,-20.199999999999996,87,0
387,-8.5,6,0
388,-16.199999999999996,56,0
389,-26.19999999999998,102,0
390,-10.4,25,0
391,-25.29999999999999,84,0
392,-11.200000000000001,24,0
393,-20.799999999999983,93,0
394,-11.200000000000001,33,0
395,-10.0,21,0
396,-11.5,18,0
397,-8.9,10,0
398,-9.5,7,0
399,-12.200000000000001,34,0
400,-21.49999999999999,91,0
401,-8.9,10,0
402,-12.900000000000002,50,0
403,-19.29999999999999,69,0
404,-19.29999999999999,69,0
405,-34.30000000000001,138,0
406,-8.5,6,0
407,-13.800000000000002,50,0
408,-14.000000000000002,34,0
409,-15.599999999999996,50,0
410,-16.199999999999996,65,0
411,-8.9,10,0
412,-28.499999999999993,152,0
413,-8.3,4,0
414,-15.200000000000003,46,0
415,-11.8,21,0
416,-17.799999999999997,63,0
417,-47.100000000000115,221,0
418,-8.3,4,0
419,-9.7,9,0
420,-14.100000000000001,44,0
421,-33.400000000000055,167,0
422,-11.4,17,0
423,-10.5,17,0
424,-48.800000000000125,247,0
425,-23.399999999999977,101,0
426,-14.900000000000002,34,0
427,-9.7,9,0
428,-16.099999999999994,57,0
429,-18.099999999999987,75,0
430,-19.999999999999993,76,0
431,-18.39999999999999,69,0
432,-21.79999999999999,76,0
433,-13.500000000000002,49,0
434,-30.89999999999999,131,0
435,-11.200000000000001,15,0
436,-15.499999999999998,40,0
437,-16.399999999999995,76,0
438,-10.500000000000002,46,0
439,-11.700000000000001,20,0
440,-29.000000000000014,121,0
441,-10.5,17,0
442,-21.199999999999985,115,0
443,-26.599999999999984,97,0
444,-16.099999999999998,64,0
445,-16.199999999999996,74,0
446,-26.99999999999998,119,0
447,-12.100000000000001,33,0
448,-14.5,39,0
449,-11.700000000000001,29,0
450,-8.3,4,0
451,-9.5,7,0
452,-15.399999999999999,48,0
453,-9.3,5,0
454,-8.3,4,0
455,-10.5,8,0
456,-19.099999999999987,78,0
457,-14.799999999999999,51,0
458,-9.700000000000001,9,0
459,-8.9,10,0
460,-17.999999999999993,74,0
461,-25.39999999999997,132,0
462,-22.49999999999999,92,0
463,-21.39999999999999,90,0
464,-9.8,10,0
465,-10.1,13,0
466,-9.1,12,0
467,-13.800000000000002,50,0
468,-16.79999999999999,73,0
469,-19.699999999999978,102,0
470,-15.199999999999996,28,0
471,-12.900000000000002,50,0
472,-14.5,57,0
473,-22.299999999999986,99,0
474,-17.9,73,0
475,-22.399999999999984,100,0
476,-14.4,38,0
477,-9.4,15,0
478,-9.4,15,0
479,-11.5,9,0
480,-14.400000000000002,56,0
481,-10.600000000000001,38,0
482,-16.7,52,0
483,-17.39999999999999,68,0
484,-29.099999999999987,104,0
485,-12.600000000000001,38,0
486,-12.100000000000003,44,0
487,-10.8,29,0
488,-16.499999999999996,59,0
489,-9.6,17,0
490,-21.599999999999987,94,0
491,-8.3,4,0
492,-11.600000000000001,19,0
493,-10.8,29,0
494,-13.200000000000001,35,0
495,-10.6,18,0
496,-13.400000000000002,48,0
497,-11.1,32,0
498,-27.999999999999996,147,0
499,-24.799999999999983,126,0
500,-10.1,22,0
501,-17.999999999999993,74,0
502,-36.80000000000004,154,0
503,-9.7,9,0
504,-13.400000000000002,28,0
505,-20.999999999999993,86,0
506,-15.199999999999998,55,0
507,-13.100000000000001,52,0
508,-21.099999999999977,107,0
509,-27.39999999999999,125,0
510,-22.399999999999984,91,0
511,-13.500000000000002,58,0
512,-11.0,42,0
513,-15.899999999999995,71,0
514,-22.19999999999998,100,0
515,-15.599999999999996,70,0
516,-11.600000000000001,19,0
517,-21.399999999999984,90,0
518,-19.79999999999999,83,0
519,-18.599999999999994,71,0
520,-15.499999999999996,69,0
521,-13.699999999999996,42,0
522,-21.999999999999982,96,0
523,-25.299999999999972,122,0
524,-11.500000000000002,38,0
525,-13.500000000000002,47,0
526,-32.80000000000005,168,0
527,-11.4,35,0
528,-22.59999999999999,95,0
529,-10.5,17,0
530,-33.20000000000002,165,0
531,-8.700000000000001,8,0
532,-12.800000000000002,49,0
533,-14.4,58,0
534,-17.599999999999994,79,0
535,-22.299999999999983,101,0
536,-15.399999999999999,66,0
537,-32.20000000000001,173,0
538,-12.200000000000001,34,0
539,-23.69999999999998,115,0
540,-11.700000000000001,40,0
541,-15.899999999999999,44,0
542,-10.4,45,0
543,-9.6,17,0
544,-9.6,17,0
545,-19.999999999999986,85,0
546,-31.500000000000018,191,0
547,-11.700000000000001,38,0
548,-27.999999999999986,122,0
549,-14.000000000000002,45,0
550,-10.700000000000001,30,0
551,-8.5,6,0
552,-10.3,24,0
553,-9.8,19,0
554,-11.500000000000002,47,0
555,-14.200000000000001,54,0
556,-10.200000000000001,23,0
557,-13.200000000000001,44,0
558,-10.9,21,0
559,-9.700000000000001,38,0
560,-9.3,14,0
561,-12.5,19,0
562,-17.799999999999983,74,0
563,-8.700000000000001,8,0
564,-13.800000000000002,52,0
565,-13.8,23,0
566,-8.5,6,0
567,-11.4,35,0
568,-8.5,6,0
569,-30.40000000000005,182,0
570,-25.59999999999998,136,0
571,-13.700000000000003,60,0
572,-15.899999999999995,73,0
573,-29.299999999999994,133,0
574,-12.8,42,0
575,-9.5,16,0
576,-10.200000000000001,23,0
577,-10.5,26,0
578,-10.6,18,0
579,-10.200000000000001,23,0
580,-11.900000000000002,42,0
581,-22.899999999999988,116,0
582,-15.699999999999996,51,0
583,-8.3,4,0
584,-13.199999999999998,55,0
585,-14.8,71,0
586,-15.7,89,0
587,-8.3,4,0
588,-33.80000000000002,155,0
589,-25.69999999999998,106,0
590,-16.599999999999994,69,0
591,-10.000000000000002,32,0
592,-11.200000000000001,24,0
593,-9.4,35,0
594,-13.200000000000001,44,0
595,-14.000000000000002,43,0
596,-10.3,24,0
597,-15.900000000000002,64,0
598,-11.600000000000001,39,0
599,-20.599999999999973,140,0
600,-20.49999999999999,101,0
601,-22.099999999999977,106,0
602,-10.9,30,0
603,-12.600000000000001,58,0
604,-14.400000000000002,67,0
605,-17.499999999999986,98,0
606,-14.000000000000002,63,0
607,-8.7,8,0
608,-16.499999999999996,59,0
609,-23.999999999999986,93,0
610,-26.199999999999978,122,0
611,-8.7,8,0
612,-11.200000000000001,53,0
613,-14.4,58,0
614,-37.10000000000004,141,0
615,-17.599999999999984,110,0
616,-19.29999999999999,107,0
617,-16.099999999999987,93,0
618,-9.200000000000001,13,0
619,-16.499999999999996,88,0
620,-22.199999999999992,120,0
621,-12.000000000000002,43,0
622,-13.000000000000002,53,0
623,-8.5,6,0
624,-9.5,27,0
625,-25.89999999999998,119,0
626,-10.100000000000001,33,0
627,-9.9,11,0
628,-18.999999999999986,106,0
